,name,dTmorpho,Dmorpho,wspeed,MEAN_BUILD_HEIGHT,OPENING_FRACTION,NB_STREET_DENSITY,BLOCK_NB_DENSITY,FREE_FACADE_FRACTION
502,morphologie_6 hauteur bat 32,0.2505590629419,181.477202093362,1.6,32,0.594174757282231,0.029126213592233,0.000434028870923386,0.664068798710024
503,morphologie_7 hauteur bat 32,0.184675443099803,139.083227694457,1.6,32,0.76699507389197,0.0147783251231527,0.000199549549549653,0.476110645431685
987,morphologie_1 hauteur bat 8,0.127694281543402,142.16919841243,4.6,8,0.353201970443694,0.0147783251231527,0.000455374865610077,0.275782155272306
988,morphologie_2 hauteur bat 8,0.171516936405101,153.690910248743,4.6,8,0.415776783981342,0.029126213592233,0.000632239239675446,0.363260108245782
989,morphologie_3 hauteur bat 8,0.192144486948603,143.484004156549,4.6,8,0.426315789474687,0.0430622009569378,0.00070755666233082,0.441340782122905
990,morphologie_4 hauteur bat 8,0.1091647049243,136.567862353594,4.6,8,0.617821730916517,0.0099009900990099,0.000184424571584272,0.132697311361665
991,morphologie_5 hauteur bat 8,0.1262755736287,137.921741770729,4.6,8,0.589655259880467,0.0147783251231527,0.000299626887646024,0.20280612244898
992,morphologie_6 hauteur bat 8,0.133872599009802,177.861921866624,4.6,8,0.594174757282231,0.029126213592233,0.000434028870923386,0.330745549457904
993,morphologie_7 hauteur bat 8,0.134420963207301,166.535435204441,4.6,8,0.76699507389197,0.0147783251231527,0.000199549549549653,0.185136897001304
994,morphologie_1 hauteur bat 16,0.2098990860623,102,4.6,16,0.353201970443694,0.0147783251231527,0.000455374865610077,0.432334241598547
995,morphologie_2 hauteur bat 16,0.206625280845302,155.769627708531,4.6,16,0.415776783981342,0.029126213592233,0.000632239239675446,0.532928538066324
996,morphologie_3 hauteur bat 16,0.194751165616502,147.097539305114,4.6,16,0.426315789474687,0.0430622009569378,0.00070755666233082,0.612403100775194
997,morphologie_4 hauteur bat 16,0.116744502344901,141.641124758116,4.6,16,0.617821730916517,0.0099009900990099,0.000184424571584272,0.234303215926493
998,morphologie_5 hauteur bat 16,0.115703913248403,131.895814985098,4.6,16,0.589655259880467,0.0147783251231527,0.000299626887646024,0.337221633085896
999,morphologie_6 hauteur bat 16,0.180186509900903,149.41005838109,4.6,16,0.594174757282231,0.029126213592233,0.000434028870923386,0.497083081874874
1000,morphologie_7 hauteur bat 16,0.133631866519902,141.332630206133,4.6,16,0.76699507389197,0.0147783251231527,0.000199549549549653,0.312431243124312
1001,morphologie_1 hauteur bat 32,0.173430477278401,103,4.6,32,0.353201970443694,0.0147783251231527,0.000455374865610077,0.603677869372226
1002,morphologie_2 hauteur bat 32,0.1927691260471,136,4.6,32,0.415776783981342,0.029126213592233,0.000632239239675446,0.695307739183425
1003,morphologie_3 hauteur bat 32,0.201574572457201,158.402840100576,4.6,32,0.426315789474687,0.0430622009569378,0.00070755666233082,0.759615384615385
1004,morphologie_4 hauteur bat 32,0.131952970296901,78.1636495807315,4.6,32,0.617821730916517,0.0099009900990099,0.000184424571584272,0.379652605459057
1005,morphologie_5 hauteur bat 32,0.106315370108302,123.420594334015,4.6,32,0.589655259880467,0.0147783251231527,0.000299626887646024,0.50436161776368
1006,morphologie_6 hauteur bat 32,0.180102538896602,157.472447567219,4.6,32,0.594174757282231,0.029126213592233,0.000434028870923386,0.664068798710024
1007,morphologie_7 hauteur bat 32,0.1327554944382,116.748508341106,4.6,32,0.76699507389197,0.0147783251231527,0.000199549549549653,0.476110645431685
